PLAsTiCC_obj_id,g_pk_time,r_pk_time,i_pk_time,z_pk_time,y_pk_time,g_pk_mag,r_pk_mag,i_pk_mag,z_pk_mag,y_pk_mag,g_a1,g_a2,r_a1,r_a2,i_a1,i_a2,z_a1,z_a2,y_a1,y_a2,g_std_time,r_std_time,i_std_time,z_std_time,y_std_time,g_std_mag,r_std_mag,i_std_mag,z_std_mag,y_std_mag,g_std_a1,g_std_a2,r_std_a1,r_std_a2,i_std_a1,i_std_a2,z_std_a1,z_std_a2,y_std_a1,y_std_a2,type,photo_z
270006,,59851.4139,59856.6556,59860.9557,,,-18.722399,-18.722554,-18.456066,,,,-7.2420998,0.51032257,-3.8000068,0.76291243,-0.7134305,0.70449238,,,,2.18098658,2.01878542,5.66244905,,,0.09712841,0.07199553,0.13857979,,,,0.7511745,0.25705911,0.29178424,0.1449105,0.2828707,0.14648166,,,SN II,0.701
244048,,59815.59323,59819.2039,59821.8865,,,-19.237961,-20.227798,-20.226871,,,,-9.249775447,0.597323651,-7.4999829,1.26137897,-2.4943426,1.37904059,,,,0.853407035,0,1.95094802,,,1.963139079,0.04369797,0.05981969,,,,1.084423116,0.342648387,0.38041377,0.1842343,0.36825146,0.18641286,,,SN Ia,1.028
30754,,,,59900.3551,,,,,-20.454598,,,,,,,,-4.283934021,2.156673385,,,,,,0,,,,,0.106322244,,,,,,,,0.46025675,0.234707558,,,SN Ia,1.373
274677,,60654.42826,60657.5434,60661.7676,,,-17.95278,-19.224714,-19.513944,,,,-8.534610507,0.561392789,-6.2497168,0.98714502,-1.7471479,1.11216331,,,,0.764957499,2.06371139,2.58138633,,,6.874629262,0.05340053,0.05212608,,,,0.939394209,0.306696948,0.35351605,0.17289702,0.33232304,0.16990119,,,SN Ia,0.89
276772,60229.26223,60233.56128,60235.4853,60236.31704,,-18.646662,-18.392143,-18.105774,-17.977448,,-7.408515415,-0.023664756,-6.018604721,0.475145964,-2.2543681,0.59449719,-0.025974793,0.387161304,,,2.585254668,0.570205377,1.23673284,0.658451264,,6.115371851,2.555096819,0.05710405,0.534648766,,1.706645837,0.348258335,0.636724208,0.227291877,0.25401377,0.12682217,0.252862927,0.131628897,,,SN II,0.558
259258,60200.1573,60206.2501,60208.76913,,,-18.513982,-18.484765,-17.57848,,,-7.846380427,-0.119926144,-7.3357876,0.53584573,-4.400901959,0.811922526,,,,,3.007579756,3.02563742,0.663518468,,,9.798157875,0.13506,5.764772941,,,2.134033323,0.416440882,0.76893292,0.2643578,0.306895099,0.149319331,,,,,SN II,0.724
53642,,60527.73685,60530.4894,60517.9664,,,-18.659693,-19.654935,-19.859355,,,,-7.888281968,0.535109453,-5.140516997,0.869380917,-1.204255612,0.893860231,,,,0.702465241,2.309669716,0,,,6.077474508,0.059008299,0.065128723,,,,0.840182007,0.281256243,0.324156317,0.157720591,0.302515532,0.156450455,,,SN Ia,0.789
214389,60229.85926,60234.3764,60237.2102,60238.548,60244.7341,-18.22212,-19.725622,-19.951037,-19.948563,-19.942799,-7.691646651,-0.081056797,-6.6979705,0.64687762,-3.489631,0.76780155,-0.3083694,0.66284568,1.0773826,-0.0273003,2.897661161,0.37994007,0.51542306,1.04010095,3.62217809,5.712398834,0.0204111,0.02368896,0.03302054,0.07900142,1.956649352,0.388270115,0.62483396,0.22080791,0.24158652,0.12902209,0.23486547,0.13330765,0.46314578,0.30177391,SN Ia,0.657
214905,,,60588.3241,60600.2799,,,,-19.98713,-20.406975,,,,,,-8.438244,1.22174911,-2.7801976,1.54516546,,,,,3.73494426,3.94215414,,,,0.13088816,0.04238258,,,,,,0.41238749,0.20289857,0.38533555,0.19553786,,,SN Ia,1.089
237000,,,60206.86718,60211.3362,,,,-19.661153,-20.211124,,,,,,-8.726560694,1.23203981,-2.9187762,1.57620987,,,,,1.039338388,2.95355316,,,,7.376892802,0.06149735,,,,,,0.420126152,0.207066141,0.39105789,0.19537926,,,SN Ia,1.113
166920,60229.24228,60233.28787,60237.67064,60241.878,,-18.546732,-18.972176,-19.954859,-20.555307,,-8.142085173,-0.322335219,-9.440830227,0.608957142,-8.281769621,1.188835282,-2.8082412,1.39035585,,,5.958594031,1.36410502,1.009621469,2.37177421,,13.54124959,5.875974469,5.812951744,0.04986688,,3.159556462,0.571905189,1.134078785,0.354608298,0.407961809,0.200893487,0.37861828,0.18741559,,,SN Ia,1.073
323466,,60343.67057,60345.37656,60345.6367,60344.1834,,-17.427188,-18.291512,-18.753635,-19.07026,,,-5.15310588,0.451805366,-1.567362603,0.536373175,0.392555,0.17174904,1.876415937,-0.293571269,,0.817725567,0.608901842,1.13327092,1.388715288,,2.635749811,0.799810693,0.03273815,1.097829061,,,0.56821534,0.208805272,0.243060905,0.116337873,0.23330488,0.12146207,0.406195293,0.246690502,SN Ia-91bg,0.469
65215,,,59680.2232,59683.71122,,,,-19.78691,-19.943259,,,,,,-7.058560524,1.070040681,-2.139023762,1.253365555,,,,,0.929210256,5.402308764,,,,9.993021023,0.073643576,,,,,,0.375010526,0.184141814,0.351476302,0.179405895,,,SN Ia,0.963
174729,,59828.51115,59831.22,59832.9553,,,-18.605109,-19.219209,-19.17454,,,,-7.192844882,0.510699464,-4.078400238,0.780599881,-0.7667381,0.66360918,,,,1.00273213,0.744366677,7.64746282,,,19.044948,11.15225324,0.16136074,,,,0.753310828,0.258462355,0.299072681,0.145296649,0.28311987,0.14593207,,,SN Ia,0.695
276085,,60653.68071,60657.1944,60658.0856,60658.37474,,-18.690072,-19.919562,-20.119414,-19.987407,,,-9.124979173,0.590248775,-7.5000976,1.07632718,-2.3420763,1.32568906,-0.175738511,0.462756668,,0.835851756,1.21365774,3.54666488,2.424787337,,3.584128886,0.03480655,0.04185477,0.842081106,,,1.05519083,0.335521306,0.38535986,0.18575677,0.36160554,0.18427115,0.683989183,0.418120588,SN Ia,1.001
278348,60639.3495,60647.6795,60647.6795,60647.6795,60644.79564,-15.759258,-15.691472,-16.048943,-16.165327,-16.122516,-1.9213563,0.36191271,-0.2124534,1.01595578,1.98246258,0.42906359,2.11788001,-0.2483582,2.948413504,-0.6903828,0.63286972,0,0,0,1.112807111,0.03281562,0.03522103,0.03161013,0.04337352,1.064500617,0.56817445,0.20963216,0.35327614,0.14730818,0.18652717,0.08671943,0.18962527,0.10031879,0.306541356,0.184547667,SN II,0.19
22409,,,60268.95491,60273.45662,,,,-19.429292,-19.97718,,,,,,-8.782163575,1.237441315,-2.971245135,1.573843367,,,,,1.043070906,6.056313763,,,,14.84383044,0.092964487,,,,,,0.421652927,0.207840814,0.392494034,0.198566827,,,SN Ia,1.118
284120,60327.36296,60332.5897,60335.5178,60338.6883,60337.5076,-18.031596,-19.957431,-20.2614,-20.016524,-20.204261,-7.851917069,-0.121681108,-6.5078294,0.82439627,-4.3568972,0.90420466,-0.8209439,0.80675804,0.83459108,-0.0076712,3.127359373,0.66857051,0.62714864,0.95132436,2.58712125,7.456660762,0.02531357,0.02458027,0.02971917,0.07594103,2.142177763,0.417716731,0.6622984,0.24075899,0.27488121,0.132401,0.26870402,0.13707626,0.52488417,0.29893872,SN Ia,0.727
83451,60654.83253,60658.2675,60659.68262,60659.73701,,-17.343056,-17.400046,-17.40888,-17.534993,,-6.972378971,0.045845299,-4.833449429,0.434185626,-1.216100204,0.507004391,0.597143844,0.124876861,,,2.231505597,0.666421917,1.160627917,0.592727506,,4.799247096,0.036718321,0.046433226,0.58520221,,1.426682859,0.303315523,0.543850456,0.20029562,0.236346232,0.112554016,0.22882661,0.12017489,,,SN II,0.438
65474,60272.32504,60276.985,60278.96787,60279.60499,60279.40019,-18.577723,-19.565136,-19.596377,-19.607441,-19.489009,-8.163824079,-0.168588288,-6.050865433,0.360198604,-2.274326594,0.623970204,0.109199308,0.34096807,1.772889983,-0.008118301,0.600725775,0.231319975,0.35894698,0.514441447,1.295373508,0.0381256,0.011148395,0.011948952,0.015565167,0.042727694,1.446861935,0.314450829,0.527374326,0.157410841,0.24311145,0.097617299,0.237770643,0.106821158,0.424571811,0.228754642,SN Ia,0.534
192573,60261.64847,60264.6733,60267.9941,60272.0384,60267.01138,-17.951641,-19.587376,-19.594242,-19.480348,-19.500995,-7.443167859,-0.030087087,-6.3569959,0.43392616,-2.7199022,0.61547689,-0.0822208,0.41065548,1.489847509,-0.15183154,2.619736768,1.44677983,1.0168584,1.1953284,1.61859276,5.845519351,0.04980695,0.03618231,0.03729192,1.019318483,1.733531685,0.352587048,0.62813802,0.22490232,0.26442611,0.12632859,0.25432966,0.13125067,0.453077411,0.275621179,SN Ia,0.569
97994,59842.98218,59854.07718,59860.02962,59861.04589,,-18.923739,-18.342173,-17.817105,-17.863314,,-6.610895057,0.044065003,-6.150988246,0.456973701,-2.857483669,0.660841774,-0.166141416,0.445334443,,,6.835645941,1.431362991,2.488146618,0.675255848,,0.416628254,0.062851728,0.086765999,1.261224454,,1.368459446,0.356026438,0.629245987,0.230018759,0.270508308,0.130418255,0.258703176,0.134465944,,,SN II,0.585
221455,59883.6542,59888.5743,59890.0571,59889.1673,59887.2936,-16.739645,-16.773179,-16.799525,-16.929808,-16.843865,-5.0474011,0.25471749,-0.9595633,0.77147404,1.87885447,0.33745496,2.02384069,-0.3973357,3.05499432,-0.6638173,0.98090789,0.32898799,0.26856995,0.31310768,1.10505719,0.01950039,0.0177191,0.0157266,0.01996117,0.04635968,0.85484759,0.22552156,0.37908734,0.14896378,0.19084073,0.08721834,0.19073156,0.10112432,0.3020464,0.18062207,SN II,0.174
307137,,59855.7905,59858.8302,59845.7472,59859.33581,,-17.964838,-19.282305,-19.817779,-19.400958,,,-8.408798323,0.555926172,-6.0139588,0.96372029,-1.6663733,1.08460279,0.338973944,0.275181066,,0.751778525,2.3860336,0,2.165294422,,6.410828355,0.07686844,0.07494336,1.202518354,,,0.918279611,0.301337787,0.34739303,0.16985297,0.32000888,0.16456545,0.60987999,0.372655962,SN Ia,0.869
18366,59879.44748,59884.47663,59885.916,59889.15647,59890.99636,-17.791379,-19.433005,-19.569044,-19.569635,-19.493752,-7.476713571,-0.036439341,-6.470747162,0.215983939,-3.142183826,0.52512468,-0.136622873,0.529219016,1.455175425,-0.119218639,2.651455265,0.340181454,0.460892134,0.862622571,1.768759815,4.126927083,0.015121177,0.016610188,0.022469182,0.063811624,1.760871273,0.35695226,0.490791803,0.160722989,0.233222878,0.111162563,0.217035257,0.12484296,0.458114374,0.277058322,SN Ia,0.58
56828,59787.5313,59795.0802,59792.25812,59791.35154,59789.18075,-18.344137,-19.197696,-19.39899,-19.387719,-19.288957,-7.829522605,-0.059985147,-5.751447331,0.020747435,-1.048848968,0.45755575,0.35395642,0.266734506,1.747951357,-0.432550649,0.477184784,0.785607443,0.328497969,0.342249025,0.832740814,0.040730558,0.022243651,0.017247268,0.020901289,0.047721008,1.208172195,0.291448378,0.323421115,0.178625452,0.161277702,0.083083547,0.16831468,0.093676868,0.326540073,0.202474847,SN Ia,0.427
151257,,60274.983,60278.18449,60276.92438,60278.95864,,-18.754934,-19.852741,-20.026533,-19.959426,,,-8.673166971,0.567616401,-6.509077573,1.025644825,-1.877641587,1.15769291,0.168052301,0.34398572,,0.780097289,1.618606064,2.604368798,2.252554019,,3.909379811,0.037800593,0.045672103,0.928369154,,,0.963816393,0.312860357,0.360303254,0.175452197,0.338433668,0.172454381,0.634854833,0.387650866,SN Ia,0.914
218610,,60349.06001,60352.0893,60352.7457,60352.66165,,-19.531149,-20.122697,-20.199385,-20.026764,,,-8.39055739,0.555148287,-5.8515817,1.0461873,-1.7426291,1.02603668,0.351443459,0.269270709,,0.749844062,0.75338409,1.09876745,2.142133225,,2.090934392,0.02791924,0.03337574,0.510236627,,,0.915276453,0.300574887,0.33305479,0.15714346,0.31876631,0.15730944,0.608170179,0.371631914,SN Ia,0.866
263064,60215.1873,60225.3863,60232.7488,60232.92964,,-18.253681,-17.686351,-17.572503,-17.608774,,-4.1952606,0.47865957,-4.6998581,0.58574278,-1.4112431,0.54392833,0.498646088,0.166402091,,,2.36941724,0,1.22675539,0.601788487,,0.08436064,0.03541715,0.0595615,0.595308573,,0.99889663,0.29789454,0.52079936,0.19205448,0.23997396,0.11390305,0.232384118,0.12187247,,,SN II,0.457
332962,60214.4942,60222.6002,60222.6002,60219.6467,60208.6919,-16.982033,-16.997959,-17.053012,-17.203361,-17.502515,-1.0095184,0.28398122,1.65924214,1.11067477,3.80236062,0.81131141,3.94351497,0.11588318,3.13266127,-0.7519996,0,0,0,0.47310947,1.17510869,0.02201399,0.00781562,0.00981679,0.01516616,0.06468333,0.40664336,0.18036204,0.24195156,0.11412861,0.1305403,0.06998022,0.12935333,0.08345655,0.26783103,0.1471066,SN II,0.158
121509,59620.88921,59623.1465,59623.0499,59619.91079,59620.50859,-18.985113,-19.239015,-19.234765,-18.770595,-18.674472,-6.688662889,0.137800094,-1.946326531,0.439743537,0.724211593,0.279879354,1.974715452,-0.329699508,3.298118932,-0.578947481,0.450625991,0.34517328,0.349749739,0.740999888,1.251250329,0.012468716,0.013832441,0.012802287,0.010438747,0.023893426,0.397633844,0.214607554,0.197810892,0.115251855,0.134949417,0.070065193,0.130435651,0.094499648,0.214850651,0.178523142,SN Ia,0.238
82071,60169.36658,60169.68663,60171.19259,60171.7221,60174.00149,-15.883113,-16.594903,-16.696115,-16.816719,-16.992979,-5.654567799,0.198998381,-1.619821995,-0.020038376,1.240796629,0.163429987,1.855322144,-0.34592645,2.856249058,-0.63514394,1.635450276,0.362939039,0.382020798,0,0.701195139,2.983636929,0.015817083,0.018126235,0.02269252,0.050082651,0.94950669,0.228945578,0.260171115,0.132245635,0.162114778,0.082448912,0.162844011,0.093885703,0.285196467,0.175160134,SN Ibc,0.174
186269,60186.51317,60181.518,60191.934,60191.934,,-17.671177,-17.869866,-18.004219,-17.880403,,-7.164426874,0.016941098,-4.4209576,0.42537209,-1.3817863,0.52464308,0.42355757,0.26591436,,,2.374468242,1.9393653,0,0,,4.715523518,0.06692242,0.06010958,0.08936244,,1.54017536,0.321472996,0.53021343,0.20996331,0.2350929,0.11681974,0.2357585,0.12396443,,,SN II,0.488
137083,,59970.40106,59973.69324,59975.54787,59974.301,,-19.726987,-20.263088,-20.125937,-20.166932,,,-8.692592175,0.387530599,-5.792884132,1.015920972,-1.584546797,0.973944496,0.433382604,0.257095738,,0.657070931,0.57201795,1.266367917,2.108822175,,0.033175095,0.025452398,0.035071182,0.578865976,,,0.821982481,0.25839753,0.332609144,0.148369272,0.317654913,0.154988867,0.597444517,0.366650697,SN Ia,0.852
303691,,,,60586.6694,60570.7724,,,,-21.136734,-21.560469,,,,,,,-3.8336113,1.72822582,-1.1910711,0.88345983,,,,1.37353632,0,,,,0.03256475,0.14756296,,,,,,,0.41748004,0.19998346,0.81369415,0.50358069,SN II,1.271
281352,59882.5617,59887.7332,59888.6709,59896.3795,,-18.846599,-18.771498,-18.386578,-18.191511,,-7.6882419,-0.5793764,-6.3040243,0.00646875,-3.2423799,0.71019985,-0.3375754,0.52664069,,,0.49040569,0.76068592,1.88950044,2.76400933,,0.03724326,0.0304022,0.05381375,0.11334033,,1.29300524,0.32934093,0.57445538,0.23267267,0.27702526,0.13457402,0.26494691,0.13782726,,,SN II,0.621
125583,59905.03634,59916.64234,59918.92474,59920.68059,,-18.890398,-18.273222,-17.654638,-17.67147,,-7.387689191,-0.360211243,-6.949837635,0.44846477,-3.666976446,0.740697631,-0.544995734,0.604462765,,,4.736525306,1.045911313,0.625250416,0.970254268,,0.273130203,0.04620558,1.537203371,0.72611612,,1.245611777,0.384858051,0.692669228,0.241855792,0.28926756,0.140242409,0.275150134,0.142389633,,,SN II,0.658
267961,,,59974.79658,59979.795,,,,-20.029709,-20.450328,,,,,,-9.62727252,1.319548217,-3.3770257,1.70934939,,,,,1.100040576,0,,,,1.733827094,0.0547606,,,,,,0.445007935,0.219672946,0.41311804,0.205437,,,SN Ia,1.194
158644,60202.3141,60208.7019,60210.56154,,,-18.404987,-17.762794,-17.540008,,,-9.3774063,-0.5249482,-5.0197552,0.36040487,-2.355235663,0.613340632,,,,,0.67511237,1.20389024,0.560760458,,,0.05833662,0.07097246,1.254843616,,,1.44737449,0.31876051,0.56385343,0.21452563,0.259585083,0.124888836,,,,,SN II,0.54
39871,,,,59848.97302,,,,,-20.39215,,,,,,,,-4.222977124,2.116687821,,,,,,7.028945301,,,,,0.118987494,,,,,,,,0.460403727,0.232955869,,,SN Ia,1.359
253255,60589.7892,60597.92,60598.8052,60580.7732,60580.7732,-18.282409,-17.527696,-17.556215,-18.107612,-18.138523,-5.1833779,0.19666693,-0.1117609,0.97996743,1.32855266,0.62832209,2.0138102,-0.3784615,2.78576901,-0.5573613,1.35181192,0.53388106,0,0,0,0.04655226,0.01616879,0.01805611,0.03657277,0.06941836,0.62023602,0.2358674,0.31796188,0.15650742,0.18179864,0.09197524,0.18020602,0.09412245,0.31092591,0.18257358,SN II,0.288
162310,60627.1293,60631.5648,60638.2173,60639.22161,,-18.691558,-18.561434,-18.062119,-18.143613,,-6.8492794,-0.3590727,-6.2508492,0.36460009,-2.7609975,0.71052818,-0.15758697,0.447397151,,,1.08235553,1.49659954,0,0.672954201,,0.05398598,0.05340265,0.06148094,0.220702225,,1.0858248,0.33802061,0.58521754,0.22632748,0.2667383,0.12841148,0.258239317,0.134016867,,,SN II,0.584
63854,60541.53897,60541.738,60545.39084,60545.40208,60542.51677,-15.172176,-15.666463,-16.151121,-16.314619,-16.44429,-1.475642229,0.047629473,2.326807186,0.108969285,2.552078926,0.137963306,2.500575102,-0.44503772,2.949799078,-0.689247724,1.049898102,0,8.15E-05,7.71E-05,1.113837005,0.095272294,0.040450473,0.03782431,0.042861076,1.498021205,0.732382554,0.22861733,0.268742338,0.150395074,0.170475675,0.087598038,0.174712322,0.101017656,0.30640712,0.184707737,ILOT,0.191
75269,60197.94601,60201.78327,60203.99388,60204.98175,60205.26713,-18.191453,-19.518773,-19.69964,-19.745303,-19.58484,-7.357226472,-0.014949617,-5.417100164,0.826881008,-2.136819881,0.796384887,0.372991447,0.283264901,1.412324722,-0.205054904,2.539294407,0.343256144,0.327122531,0.43909424,1.232433957,5.072024805,0.018186816,0.017034336,0.021822133,0.05781485,1.670450222,0.342398997,0.410161344,0.169354653,0.208242869,0.102310958,0.197823586,0.110269415,0.390801101,0.24471793,SN Ia,0.543
282309,60227.0839,60231.8511,60233.95467,,,-19.183728,-18.734334,-18.036518,,,-10,-1.4649503,-6.4855371,0.33895489,-3.161276883,0.690776464,,,,,0.43817477,0,0.59844344,,,0.02213986,0.03110524,0.454088947,,,0,0.30985676,0.65001887,0.22160483,0.277140509,0.13409904,,,,,SN II,0.612
57374,,,60528.6943,60529.07369,,,,-20.113325,-20.109198,,,,,,-6.852807922,1.027724166,-2.004841114,1.234829169,,,,,3.078931035,6.184019352,,,,0.084834798,0.112585187,,,,,,0.368010787,0.180099276,0.345515391,0.176264985,,,SN Ia,0.942
157043,,60195.41996,60198.39884,60196.69158,60201.29711,,-19.392907,-20.269073,-20.341886,-20.390885,,,-8.30459791,0.551448607,-5.725941016,1.037710442,-1.764531666,1.019923236,0.270214331,0.12749647,,0.741155085,0.903779656,1.765232269,2.415914084,,2.36722042,0.028211537,0.036965878,0.074323729,,,0.901167775,0.297001115,0.333621327,0.161482005,0.308131983,0.160417965,0.57492842,0.350481799,SN Ia,0.852
105168,,60358.93528,60362.90839,60369.42066,,,-19.168468,-20.015924,-20.510286,,,,-9.649007302,0.623540246,-8.976292718,1.150278679,-2.994422209,1.6250258,,,,0.919850885,2.365563665,2.156082878,,,7.921955718,0.067115435,0.049103257,,,,1.197555847,0.369625937,0.423730097,0.206013171,0.395008348,0.197141729,,,SN Ia,1.129
277340,,60516.43208,60517.6235,60512.4011,,,-16.681829,-17.061556,-17.520757,,,,-3.913372238,0.422051778,-0.2478431,0.42809322,1.14855268,-0.0611676,,,,0.473859733,1.52449142,0,,,2.706268162,0.07238837,0.07169565,,,,0.490164732,0.187753706,0.21871605,0.10311958,0.20863771,0.11113084,,,CaRT,0.354
216177,,60181.4272,60183.3679,60184.3837,60183.89863,,-19.269427,-20.090325,-20.048241,-20.033603,,,-8.2680487,0.60376043,-5.9136649,0.9793936,-1.68178,0.99967245,0.368868262,0.261727971,,0.85184169,0.74410584,1.4229324,2.137586367,,0.04493619,0.02938172,0.0394942,0.725789387,,,0.88393481,0.27112117,0.33241904,0.1531896,0.31462209,0.15567132,0.605553722,0.369952419,SN Ia,0.861
89644,60179.35936,60182.63861,60191.00292,,,-17.902348,-17.749086,-17.409133,,,-6.75733691,0.094826754,-4.104588815,0.364257185,-1.202189577,0.534871405,,,,,0.695326986,1.424123538,1.782648374,,,0.049277568,0.055225874,0.075044302,,,1.240253048,0.271789337,0.497079943,0.201630988,0.234906573,0.113315409,,,,,SN II,0.446
201788,,59871.03113,59873.3819,59875.1624,,,-17.187093,-18.368389,-19.005438,,,,-7.050735089,0.505960627,-3.8164347,0.81021159,0.49716583,0.3953897,,,,0.636126506,2.04145523,0,,,6.300337656,0.06141723,0.05412775,,,,0.737216594,0.254213285,0.29348125,0.14188614,0.24888533,0.13987263,,,SN II,0.677
93232,,59808.06958,59810.81463,59812.18022,59810.92745,,-19.041175,-19.801529,-19.618391,-19.628244,,,-7.874583843,0.534533951,-5.372301706,0.685904717,-1.377966461,0.75172055,0.651073224,0.157577147,,0.701142862,0.783267439,1.789694999,2.009652459,,2.06431339,0.025647047,0.040328883,0.639869635,,,0.838248926,0.280752057,0.313111042,0.144046541,0.300127437,0.150315448,0.565401952,0.345113938,SN Ia,0.787
307609,,59869.1768,59870.6689,59870.9113,59869.3868,,-19.203211,-19.496631,-19.610334,-19.558148,,,-6.4343639,0.70702524,-3.3520584,0.84768398,-0.2108998,0.65787033,1.13468828,-0.1211087,,0.75572836,0.69787875,1.00005249,4.38929174,,0.02083729,0.02019215,0.02587283,0.08224811,,,0.63203747,0.2073707,0.27056532,0.12371862,0.24333959,0.12483448,0.48505426,0.2915433,SN Ia,0.643
285346,59876.4422,59879.3351,59881.6042,59881.7332,59880.88534,-19.084105,-20.073985,-19.940206,-19.84497,-19.84719,-10,-0.9762768,-6.8437008,0.2576449,-3.2262348,0.70927408,-0.3549854,0.498577,1.297504401,-0.081511579,0.53841034,0.28159797,0.45470481,0.66879447,1.695227927,0.03339886,0.01493752,0.01780347,0.02284128,0.656137376,0,0.32900416,0.67603295,0.21786251,0.2787384,0.13292142,0.26604376,0.13690327,0.477809206,0.290907638,SN Ia,0.619
150923,60180.79846,60184.10339,60187.01769,60189.3855,,-17.837542,-18.581022,-18.455286,-18.392245,,-7.406368007,-0.023647299,-2.861430388,0.412691855,-2.284017936,0.666626822,0.066637462,0.397802405,,,2.585559796,1.054562149,1.279270825,2.087687104,,6.182764075,0.033579183,0.046182301,0.070937198,,1.70687824,0.348255325,0.414976292,0.215201974,0.253596443,0.125914593,0.246857036,0.131117824,,,SN II,0.558
279588,59653.1837,59656.0213,59658.2151,59658.3071,59656.4192,-19.090609,-19.887312,-19.584039,-19.644943,-19.510653,-8.6816855,-0.2983921,-6.0127523,0.43734225,-1.6820602,0.63492021,0.33817945,0.15907379,2.15820627,-0.2096363,0.300308,0.18189943,0.33570074,0.46154286,1.14642275,0.02782164,0.01217723,0.01620289,0.02186092,0.05164589,1.24939817,0.29435832,0.31946909,0.15650685,0.19452678,0.10194638,0.18941463,0.11079548,0.33477062,0.22967937,SN Ia,0.48
